user_id,plan_price,will_churn_14d,week_start,active_days_week,total_minutes_week,sessions_week,payment_attempts_week,payment_failures_week
U000001,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000002,299.0,0,2026-01-26,2.0,53.22,2.0,0.0,0.0
U000003,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000004,799.0,0,2026-01-26,2.0,139.19,9.0,0.0,0.0
U000005,299.0,0,2026-01-26,3.0,96.74,8.0,0.0,0.0
U000006,299.0,0,2026-01-26,2.0,33.910000000000004,2.0,0.0,0.0
U000007,299.0,0,2026-01-26,1.0,18.84,1.0,0.0,0.0
U000008,299.0,0,2026-01-26,2.0,46.55,2.0,0.0,0.0
U000009,799.0,0,2026-01-26,3.0,90.29,7.0,0.0,0.0
U000010,499.0,0,2026-01-26,1.0,15.75,1.0,0.0,0.0
U000011,799.0,0,2026-01-26,3.0,117.63,5.0,0.0,0.0
U000012,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000013,299.0,0,2026-01-26,1.0,64.25,2.0,0.0,0.0
U000014,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000015,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000016,499.0,0,2026-01-26,2.0,140.71,13.0,0.0,0.0
U000017,299.0,0,2026-01-26,1.0,16.71,1.0,0.0,0.0
U000018,299.0,0,2026-01-26,1.0,12.95,1.0,0.0,0.0
U000019,799.0,0,2026-01-26,1.0,76.48,7.0,0.0,0.0
U000020,499.0,0,2026-01-26,4.0,154.07999999999998,9.0,0.0,0.0
U000021,499.0,0,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000022,799.0,0,2026-01-26,2.0,39.2,5.0,0.0,0.0
U000023,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000024,499.0,0,2026-01-26,2.0,60.66,3.0,0.0,0.0
U000025,499.0,0,2026-01-26,2.0,55.36,3.0,0.0,0.0
U000026,799.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000027,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000028,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000029,499.0,0,2026-01-26,5.0,142.35,12.0,0.0,0.0
U000030,799.0,0,2026-01-26,4.0,160.64,8.0,0.0,0.0
U000031,299.0,0,2026-01-26,3.0,38.36,4.0,0.0,0.0
U000032,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000033,799.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000034,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000035,499.0,0,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000036,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000037,499.0,0,2026-01-26,4.0,209.97,12.0,0.0,0.0
U000038,299.0,0,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000039,299.0,0,2026-01-26,4.0,119.37,16.0,0.0,0.0
U000040,499.0,0,2026-01-26,2.0,44.59,4.0,0.0,0.0
U000041,299.0,0,2026-01-26,2.0,73.27,7.0,0.0,0.0
U000042,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000043,299.0,0,2026-01-26,2.0,41.95,2.0,0.0,0.0
U000044,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000045,499.0,0,2026-01-26,3.0,56.92,3.0,0.0,0.0
U000046,499.0,0,2026-01-26,1.0,17.49,1.0,0.0,0.0
U000047,499.0,0,2026-01-26,3.0,91.53,4.0,0.0,0.0
U000048,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000049,299.0,0,2026-01-26,2.0,86.21,5.0,0.0,0.0
U000050,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000051,299.0,0,2026-01-26,3.0,56.79,3.0,0.0,0.0
U000052,499.0,0,2026-01-26,1.0,10.82,1.0,0.0,0.0
U000053,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000054,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000055,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000056,299.0,0,2026-01-26,3.0,73.93,7.0,0.0,0.0
U000057,799.0,0,2026-01-26,3.0,141.46,7.0,0.0,0.0
U000058,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000059,799.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000060,499.0,0,2026-01-26,3.0,107.45,10.0,0.0,0.0
U000061,499.0,0,2026-01-26,3.0,96.34,4.0,0.0,0.0
U000062,299.0,0,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000063,499.0,0,2026-01-26,3.0,143.28,16.0,0.0,0.0
U000064,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000065,299.0,0,2026-01-26,2.0,86.06,2.0,0.0,0.0
U000066,499.0,0,2026-01-26,2.0,35.82,2.0,0.0,0.0
U000067,499.0,0,2026-01-26,4.0,175.14,9.0,0.0,0.0
U000068,299.0,0,2026-01-26,2.0,51.06999999999999,3.0,0.0,0.0
U000069,799.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000070,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000071,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000072,499.0,0,2026-01-26,3.0,103.01,5.0,0.0,0.0
U000073,499.0,0,2026-01-26,2.0,65.67,3.0,0.0,0.0
U000074,499.0,0,2026-01-26,2.0,22.06,5.0,0.0,0.0
U000075,299.0,0,2026-01-26,2.0,64.21000000000001,5.0,0.0,0.0
U000076,299.0,0,2026-01-26,3.0,105.16,5.0,0.0,0.0
U000077,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000078,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000079,499.0,0,2026-01-26,4.0,50.27,4.0,0.0,0.0
U000080,299.0,0,2026-01-26,2.0,36.45,4.0,0.0,0.0
U000081,299.0,0,2026-01-26,4.0,91.41,8.0,0.0,0.0
U000082,499.0,0,2026-01-26,4.0,150.04999999999998,7.0,0.0,0.0
U000083,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000084,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000085,499.0,0,2026-01-26,2.0,42.08,2.0,0.0,0.0
U000086,299.0,0,2026-01-26,3.0,152.49,11.0,0.0,0.0
U000087,499.0,0,2026-01-26,3.0,73.88,3.0,0.0,0.0
U000088,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000089,799.0,0,2026-01-26,2.0,68.86,3.0,0.0,0.0
U000090,299.0,0,2026-01-26,1.0,14.95,1.0,0.0,0.0
U000091,299.0,0,2026-01-26,3.0,98.97,8.0,0.0,0.0
U000092,499.0,0,2026-01-26,3.0,55.15,6.0,0.0,0.0
U000093,499.0,0,2026-01-26,1.0,29.41,1.0,0.0,0.0
U000094,299.0,0,2026-01-26,4.0,79.04,6.0,0.0,0.0
U000095,799.0,0,2026-01-26,4.0,194.95,10.0,0.0,0.0
U000096,499.0,0,2026-01-26,2.0,86.1,3.0,0.0,0.0
U000097,799.0,0,2026-01-26,3.0,76.7,6.0,0.0,0.0
U000098,799.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000099,299.0,0,2026-01-26,2.0,41.97,4.0,0.0,0.0
U000100,299.0,0,2026-01-26,1.0,6.84,1.0,0.0,0.0
U000101,499.0,0,2026-01-26,3.0,69.09,3.0,0.0,0.0
U000102,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000103,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000104,499.0,0,2026-01-26,1.0,29.98,1.0,0.0,0.0
U000105,499.0,0,2026-01-26,2.0,43.36,5.0,0.0,0.0
U000106,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000107,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000108,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000109,499.0,0,2026-01-26,1.0,18.33,1.0,0.0,0.0
U000110,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000111,499.0,0,2026-01-26,2.0,56.28,3.0,0.0,0.0
U000112,299.0,0,2026-01-26,2.0,35.32,3.0,0.0,0.0
U000113,299.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000114,299.0,0,2026-01-26,3.0,68.03,6.0,0.0,0.0
U000115,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000116,499.0,0,2026-01-26,3.0,108.84,3.0,0.0,0.0
U000117,799.0,0,2026-01-26,4.0,131.59,7.0,0.0,0.0
U000118,299.0,0,2026-01-26,1.0,14.53,1.0,0.0,0.0
U000119,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000120,299.0,0,2026-01-26,3.0,79.88,3.0,0.0,0.0
U000121,299.0,0,2026-01-26,3.0,59.79,5.0,0.0,0.0
U000122,299.0,0,2026-01-26,2.0,31.4,3.0,0.0,0.0
U000123,299.0,0,2026-01-26,4.0,67.42,7.0,0.0,0.0
U000124,299.0,0,2026-01-26,3.0,39.31,4.0,0.0,0.0
U000125,799.0,0,2026-01-26,3.0,104.5,3.0,0.0,0.0
U000126,499.0,0,2026-01-26,4.0,128.07,6.0,0.0,0.0
U000127,299.0,0,2026-01-26,2.0,27.39,4.0,0.0,0.0
U000128,799.0,0,2026-01-26,2.0,72.71,5.0,0.0,0.0
U000129,299.0,0,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000130,499.0,1,2026-01-26,0.0,0.0,0.0,0.0,0.0
U000131,499.0,0,2026-01-26,2.0,64.75,4.0,0.0,0.0
U000132,799.0,0,2026-01-26,3.0,159.54000000000002,12.0,0.0,0.0
