user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel,last_active_date,tenure_days,engagement_band
U000001,2025-05-27,1,value,mobile,paid_social,2026-01-30,248,low
U000002,2025-11-15,1,regular,web,search,2026-01-30,76,med
U000003,2025-10-16,1,regular,web,referral,2026-01-30,106,med
U000004,2025-08-23,2,regular,web,referral,2026-01-30,160,high
U000005,2025-08-21,1,regular,mobile,organic,2026-01-30,162,high
U000006,2025-12-06,3,value,mobile,organic,2026-01-30,55,med
U000007,2025-05-26,3,value,mobile,organic,2026-01-30,249,low
U000008,2025-10-27,3,value,web,organic,2026-01-30,95,med
U000009,2025-06-24,2,premium,web,search,2026-01-30,220,high
U000010,2025-05-28,3,value,web,organic,2026-01-30,247,low
U000011,2025-09-14,1,premium,mobile,paid_social,2026-01-30,138,high
U000012,2026-01-04,2,value,web,organic,2026-01-30,26,low
U000013,2025-11-05,2,value,web,organic,2026-01-30,86,low
U000014,2025-11-12,3,value,mobile,paid_social,2026-01-30,79,low
U000015,2025-11-01,2,value,web,search,2026-01-30,90,low
U000016,2025-11-18,3,regular,mobile,search,2026-01-30,73,med
U000017,2025-09-10,1,regular,web,referral,2026-01-30,142,high
U000018,2025-06-06,3,value,unknown,email,2026-01-30,238,med
U000019,2025-12-01,2,regular,web,search,2026-01-30,60,high
U000020,2025-08-26,2,regular,web,organic,2026-01-30,157,med
U000021,2025-09-07,3,premium,web,organic,2026-01-30,145,high
U000022,2025-08-06,2,premium,web,email,2026-01-30,177,high
U000023,2025-06-19,2,regular,mobile,paid_social,2026-01-30,225,med
U000024,2025-12-23,2,regular,web,paid_social,2026-01-30,38,high
U000025,2025-11-17,1,regular,web,paid_social,2026-01-30,74,med
U000026,2025-10-13,2,regular,mobile,organic,2026-01-30,109,med
U000027,2025-08-14,1,regular,web,search,2026-01-30,169,low
U000028,2025-11-27,1,value,mobile,referral,2026-01-30,64,low
U000029,2025-09-18,3,regular,mobile,referral,2026-01-30,134,med
U000030,2025-08-24,2,premium,web,organic,2026-01-30,159,high
U000031,2025-08-26,2,value,mobile,paid_social,2026-01-30,157,low
U000032,2025-07-01,2,regular,web,organic,2026-01-30,213,med
U000033,2025-05-28,2,premium,web,email,2026-01-30,247,low
U000034,2025-09-21,2,value,web,organic,2026-01-30,131,low
U000035,2025-12-13,3,regular,mobile,paid_social,2026-01-30,48,med
U000036,2025-05-21,3,premium,mobile,organic,2026-01-30,254,low
U000037,2025-12-06,2,premium,web,paid_social,2026-01-30,55,high
U000038,2025-11-28,2,value,mobile,paid_social,2026-01-30,63,low
U000039,2025-07-13,2,value,web,organic,2026-01-30,201,med
U000040,2025-10-10,2,regular,mobile,referral,2026-01-30,112,med
U000041,2025-06-15,2,value,mobile,referral,2026-01-30,229,med
U000042,2025-11-11,2,value,mobile,referral,2026-01-30,80,low
U000043,2025-10-27,2,value,mobile,organic,2026-01-30,95,med
U000044,2025-08-01,2,value,mobile,paid_social,2026-01-30,182,low
U000045,2025-05-22,2,regular,web,search,2026-01-30,253,med
U000046,2026-01-03,2,regular,mobile,paid_social,2026-01-30,27,high
U000047,2025-08-24,1,regular,mobile,search,2026-01-30,159,high
U000048,2025-12-15,1,regular,mobile,paid_social,2026-01-30,46,med
U000049,2025-10-22,2,regular,web,organic,2026-01-30,100,med
U000050,2025-11-16,2,value,mobile,search,2026-01-30,75,low
U000051,2025-11-11,1,value,web,organic,2026-01-30,80,med
U000052,2025-06-22,2,value,web,organic,2026-01-30,222,low
U000053,2025-08-04,3,value,web,organic,2026-01-30,179,low
U000054,2025-08-30,2,value,web,organic,2026-01-30,153,low
U000055,2025-09-06,3,value,mobile,referral,2026-01-30,146,low
U000056,2025-05-15,3,value,web,search,2026-01-30,260,low
U000057,2025-09-19,2,regular,mobile,organic,2026-01-30,133,high
U000058,2025-06-12,2,regular,mobile,referral,2026-01-30,232,med
U000059,2025-11-07,1,premium,web,email,2026-01-30,84,low
U000060,2025-10-23,3,regular,mobile,referral,2026-01-30,99,med
U000061,2025-12-22,2,regular,web,referral,2026-01-30,39,med
U000062,2025-11-07,3,value,mobile,email,2026-01-30,84,low
U000063,2025-08-05,2,regular,mobile,paid_social,2026-01-30,178,high
U000064,2026-01-02,1,value,web,email,2026-01-30,28,low
U000065,2025-08-16,1,regular,mobile,email,2026-01-30,167,med
U000066,2025-07-25,2,regular,web,organic,2026-01-30,189,high
U000067,2025-12-18,2,regular,web,referral,2026-01-30,43,high
U000068,2025-08-05,1,value,mobile,referral,2026-01-30,178,low
U000069,2025-05-24,2,regular,web,paid_social,2026-01-30,251,med
U000070,2025-08-30,3,regular,mobile,referral,2026-01-30,153,low
U000071,2025-11-20,2,regular,web,search,2026-01-30,71,low
U000072,2025-06-21,2,regular,web,search,2026-01-30,223,high
U000073,2025-08-29,1,regular,mobile,paid_social,2026-01-30,154,med
U000074,2025-06-06,3,value,web,paid_social,2026-01-30,238,med
U000075,2025-10-24,2,regular,mobile,referral,2026-01-30,98,high
U000076,2025-09-01,3,regular,web,referral,2026-01-30,151,high
U000077,2025-07-26,2,value,mobile,paid_social,2026-01-29,187,low
U000078,2025-06-30,2,value,mobile,email,2026-01-30,214,low
U000079,2025-09-23,2,premium,web,organic,2026-01-30,129,high
U000080,2025-10-20,1,regular,web,email,2026-01-30,102,high
U000081,2025-12-27,3,regular,web,organic,2026-01-30,34,high
U000082,2025-08-22,2,regular,mobile,search,2026-01-30,161,high
U000083,2025-06-14,2,regular,web,organic,2026-01-30,230,med
U000084,2025-11-30,3,regular,web,search,2026-01-30,61,med
U000085,2025-10-10,3,value,mobile,search,2026-01-30,112,low
U000086,2025-10-27,3,regular,web,organic,2026-01-30,95,med
U000087,2025-05-29,1,regular,web,paid_social,2026-01-30,246,high
U000088,2025-07-22,2,value,web,paid_social,2026-01-30,192,low
U000089,2025-11-13,3,regular,web,organic,2026-01-30,78,high
U000090,2025-11-29,2,value,mobile,paid_social,2026-01-30,62,low
U000091,2025-08-22,1,regular,mobile,organic,2026-01-30,161,high
U000092,2025-11-22,3,regular,mobile,organic,2026-01-30,69,med
U000093,2025-12-02,2,regular,mobile,organic,2026-01-30,59,high
U000094,2025-08-10,2,regular,web,paid_social,2026-01-30,173,med
U000095,2025-12-16,3,premium,web,paid_social,2026-01-30,45,high
U000096,2025-07-16,2,regular,mobile,paid_social,2026-01-30,198,high
U000097,2025-07-04,2,regular,mobile,referral,2026-01-30,210,med
U000098,2025-10-23,2,regular,mobile,paid_social,2026-01-30,99,med
U000099,2025-10-11,2,value,web,referral,2026-01-30,111,low
U000100,2025-06-09,1,value,mobile,email,2026-01-30,235,low
U000101,2025-11-30,3,regular,mobile,search,2026-01-30,61,med
U000102,2025-06-24,3,value,mobile,organic,2026-01-30,220,low
U000103,2025-11-23,2,value,mobile,organic,2026-01-30,68,low
U000104,2025-05-06,2,regular,web,paid_social,2026-01-30,269,high
U000105,2025-11-21,3,regular,web,search,2026-01-30,70,med
U000106,2025-11-18,1,value,web,organic,2026-01-30,73,low
U000107,2025-11-16,2,regular,web,referral,2026-01-30,75,med
U000108,2025-10-18,2,regular,mobile,email,2026-01-30,104,low
U000109,2025-08-31,2,regular,web,organic,2026-01-30,152,med
U000110,2025-10-28,1,value,web,organic,2026-01-30,94,low
U000111,2025-07-13,2,regular,web,organic,2026-01-30,201,med
U000112,2025-11-16,2,value,mobile,search,2026-01-30,75,low
U000113,2025-09-21,2,regular,web,referral,2026-01-30,131,med
U000114,2025-08-28,1,value,web,paid_social,2026-01-30,155,med
U000115,2025-09-08,2,premium,mobile,organic,2026-01-30,144,low
U000116,2025-09-24,2,value,web,search,2026-01-30,128,low
U000117,2025-05-14,1,regular,web,organic,2026-01-30,261,med
U000118,2025-06-09,1,value,web,search,2026-01-30,235,med
U000119,2025-07-05,1,regular,mobile,search,2026-01-30,209,low
U000120,2025-06-02,2,regular,mobile,paid_social,2026-01-30,242,high
U000121,2025-08-23,1,value,mobile,search,2026-01-30,160,low
U000122,2025-10-19,3,value,web,referral,2026-01-30,103,low
U000123,2025-10-16,2,value,mobile,organic,2026-01-30,106,med
U000124,2025-08-31,3,value,mobile,paid_social,2026-01-30,152,low
U000125,2025-12-05,3,premium,web,organic,2026-01-30,56,high
U000126,2025-09-23,1,regular,unknown,organic,2026-01-30,129,med
U000127,2025-05-24,2,value,web,referral,2026-01-30,251,med
U000128,2025-11-13,3,premium,mobile,paid_social,2026-01-30,78,high
U000129,2025-09-26,2,value,web,organic,2026-01-30,126,low
U000130,2025-10-11,2,regular,web,search,2026-01-30,111,low
U000131,2025-09-23,2,regular,mobile,paid_social,2026-01-30,129,high
U000132,2025-09-20,1,premium,mobile,email,2026-01-30,132,high
U000133,2025-05-27,2,regular,mobile,paid_social,2026-01-30,248,med
U000134,2025-09-22,3,regular,mobile,organic,2026-01-30,130,low
U000135,2025-11-20,3,premium,web,search,2026-01-30,71,high
U000136,2025-07-20,1,value,mobile,organic,2026-01-30,194,low
U000137,2025-10-03,2,premium,unknown,organic,2026-01-30,119,high
U000138,2025-05-12,2,regular,web,paid_social,2026-01-30,263,high
U000139,2025-07-31,3,premium,mobile,paid_social,2026-01-30,183,high
U000140,2025-08-22,1,value,web,organic,2026-01-30,161,med
U000141,2026-01-06,3,value,web,referral,2026-01-30,24,low
U000142,2025-06-27,3,regular,mobile,paid_social,2026-01-30,217,high
U000143,2025-07-13,1,regular,web,paid_social,2026-01-30,201,high
U000144,2025-08-15,1,regular,web,organic,2026-01-30,168,high
